Balanced Global Dataset,Liquid (Glass) Composition - in Weight Percent,,,,,,,,,,,,,Clinopyroxene Compositions - in Weight Percent,,,,,,,,,,,,,,,,,,
Sample_ID,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,P2O5,H2O,,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,,P_GPa,T_K,,,,,,
"Hesse, M., Grove, T.L. (2003)-D92",47.67,1.1,16.55,7.98,0.15,8.97,9.05,4.05,1.52,,0.47,,,52.59,0.46,7.81,6.15,0.11,19.4,14.2,0.91,,,,1.6,1613.15,,,,,,
"Hirschmann, M.M., Kogiso, T., Baker, M.B., and Stolper, E.M. (2003)-95MMH15",43.1,2.58,14.2,13.6,0.15,12.5,10.2,3.72,0.08,,0.06,,,50.8,0.51,10.5,5.4,0.1,16.7,14.7,1.2,0.01,,,2.5,1728.15,,,,,,
"Hirschmann, M.M., Kogiso, T., Baker, M.B., and Stolper, E.M. (2003)-95MMH17",42.7,1.87,14.54,12,0.17,13.54,10.3,3.04,0.09,,0.04,,,50,0.51,10.7,5.3,0.1,17.2,14.6,1.15,0.01,,,2.5,1748.15,,,,,,
"Hirschmann, M.M., Kogiso, T., Baker, M.B., and Stolper, E.M. (2003)-95MMH23",45.2,1.3,15.2,9.1,0.17,15,11.2,1.91,0.05,0.05,0.02,,,51.2,0.28,9.8,3.9,0.11,18.9,15.1,0.8,0.03,0.16,,2.5,1773.15,,,,,,
"Hirschmann, M.M., Kogiso, T., Baker, M.B., and Stolper, E.M. (2003)-96MMH05",45.1,2,16.2,10.9,0.16,11.1,9.98,2.6,0.08,0.03,0.05,,,51.1,0.5,10.3,6.1,0.14,18.2,13.4,0.86,0.02,0.08,,2,1673.15,,,,,,
"Hirschmann, M.M., Kogiso, T., Baker, M.B., and Stolper, E.M. (2003)-96MMH07",44.4,2.3,16.4,12.81,0.1,10.6,9.3,3.78,0.12,,0.03,,,50.2,0.72,10.4,6.4,0.13,17.2,13.7,1.19,0.02,0.09,,2,1648.15,,,,,,
"Holbig, E. S., Grove, T.L. (2007)-C271",47,1.23,15.1,9.84,0.17,10.3,7.56,3.19,3.78,0.07,1.52,,,52.6,0.3,7.26,6.15,0.17,19.4,13.3,1.04,,0.51,,2.4,1673.15,,,,,,
"Holbig, E. S., Grove, T.L. (2007)-C272",47.7,0.94,15.3,8.75,0.17,12.4,9.03,2.47,2.16,0.12,0.96,,,52.6,0.2,7.33,5.19,0.18,21.9,11.6,0.77,,0.84,,2.4,1713.15,,,,,,
"Holbig, E. S., Grove, T.L. (2007)-C274",46.5,1.13,14.5,8.51,0.2,13.6,9.39,2.37,1.95,0.1,1.03,,,53.3,0.2,6.82,4.99,0.18,21.2,12.6,0.96,,0.63,,2.6,1713.15,,,,,,
"Holbig, E. S., Grove, T.L. (2007)-C274",46.5,1.13,14.5,8.51,0.2,13.6,9.39,2.37,1.95,0.1,1.03,,,53.3,0.2,6.82,4.99,0.18,21.2,12.6,0.96,,0.63,,2.6,1713.15,,,,,,
"Holbig, E. S., Grove, T.L. (2007)-C276",47.6,0.89,15.7,7.29,0.16,10.6,8.43,2.66,3.24,0.09,1.14,3.19,,52.1,0.22,7.54,4.6,0.18,20.9,12.9,0.91,,0.54,,2.4,1693.15,,,,,,
"Holbig, E. S., Grove, T.L. (2007)-C277",45.3,1.31,14.9,9.35,0.18,10.7,7.58,4.1,4.12,0.05,1.65,,,51.7,0.35,8.05,5.13,0.14,18.4,14.5,1.3,,0.42,,2.6,1673.15,,,,,,
"Holbig, E. S., Grove, T.L. (2007)-C277",45.3,1.31,14.9,9.35,0.18,10.7,7.58,4.1,4.12,0.05,1.65,,,51.7,0.35,8.05,5.13,0.14,18.4,14.5,1.3,,0.42,,2.6,1673.15,,,,,,
"Holbig, E. S., Grove, T.L. (2007)-C278",46.3,1.01,16.3,8.98,0.19,11.2,8.35,2.77,2.78,0.1,0.97,,,51.2,0.31,8.4,5.79,0.18,20,13,0.84,,0.61,,2.2,1673.15,,,,,,
"Holbig, E. S., Grove, T.L. (2007)-C282",45.3,1.18,15.9,8,0.16,11.64,8.14,3.42,3.4,0.09,1.36,2.95,,52.2,0.27,7.71,4.82,0.16,20,13.8,1.01,,0.62,,2.4,1683.15,,,,,,
"Holbig, E. S., Grove, T.L. (2007)-C283",45.7,0.92,15.7,8.21,0.18,12.5,9.1,2.42,2.48,0.11,1.01,2.98,,52.1,0.2,7.74,4.97,0.18,21.1,12.6,0.73,,0.93,,2.2,1683.15,,,,,,
"Holbig, E. S., Grove, T.L. (2007)-C284",45.2,1.11,14.3,8.08,0.18,11.7,8.39,3.82,2.93,0.12,1.22,3.9,,52.8,0.23,7.23,4.83,0.17,20.4,13.6,0.96,,0.62,,2.6,1703.15,,,,,,
"Holbig, E. S., Grove, T.L. (2007)-C284",45.2,1.11,14.3,8.08,0.18,11.7,8.39,3.82,2.93,0.12,1.22,3.9,,52.8,0.23,7.23,4.83,0.17,20.4,13.6,0.96,,0.62,,2.6,1703.15,,,,,,
"Holbig, E. S., Grove, T.L. (2007)-C285",45.3,1.06,14.5,9.46,0.18,12.1,8.34,2.91,3.33,0.07,1.28,2.32,,52.4,0.27,7.28,5.08,0.16,19.5,14.3,1.09,,0.58,,2.6,1708.15,,,,,,
"Holbig, E. S., Grove, T.L. (2007)-C285",45.3,1.06,14.5,9.46,0.18,12.1,8.34,2.91,3.33,0.07,1.28,2.32,,52.4,0.27,7.28,5.08,0.16,19.5,14.3,1.09,,0.58,,2.6,1708.15,,,,,,
"Holbig, E. S., Grove, T.L. (2007)-C286",45.6,0.96,15.1,8.94,0.17,12.4,8.93,2.7,2.64,0.11,1.22,2.11,,52.3,0.25,7.65,5.04,0.17,20,13.8,0.9,,0.9,,2.4,1688.15,,,,,,
"Husen, A., Almeev, R.R., Holtz, F. (2016)-AH3 ShR304",48.48,1.99,14.89,12.97,0.28,6.52,11.48,2.85,0.26,,0.28,0.07,,52.72,0.66,3.77,7.21,0.24,16.62,19.92,0.35,,,,0.402,1448.15,,,,,,
"Husen, A., Almeev, R.R., Holtz, F. (2016)-AH3 ShR305",49.39,1.74,14.71,11.99,0.25,6.6,12.28,2.82,0.21,,,0.08,,52.67,0.6,3.16,6.37,0.17,16.78,20.75,0.26,,,,0.202,1448.15,,,,,,
"Husen, A., Almeev, R.R., Holtz, F. (2016)-AH3 ShR307",46.16,3.5,11.61,18.56,0.3,6.04,10.62,2.77,0.44,,,0.08,,51,1,3.75,9.28,0.2,15.3,19.22,0.36,,,,0.401,1423.15,,,,,,
"Husen, A., Almeev, R.R., Holtz, F. (2016)-AH3 ShR312",45.61,3.2,14.45,17.62,0.32,5,9.69,3.29,0.41,,,0.08,,49.8,1.28,6.18,10.68,0.32,14.08,17.44,0.69,,,,0.7,1448.15,,,,,,
"Husen, A., Almeev, R.R., Holtz, F. (2016)-AH3 ShR314",47.64,1.92,15.75,13.6,0.29,6.75,10.5,3.07,0.27,,0.21,0.12,,51.31,0.74,5.53,8.14,0.2,16.2,18.22,0.52,,,,0.7,1473.15,,,,,,
"Husen, A., Almeev, R.R., Holtz, F. (2016)-AH3 ShR317",49.49,1.44,16.22,10.58,0.19,7.24,11.82,2.76,0.19,,0.08,0.11,,52.07,0.54,5.23,5.84,0.18,16.81,19.92,0.4,,,,0.7,1498.15,,,,,,
"Husen, A., Almeev, R.R., Holtz, F. (2016)-AH3 ShR322",47.6,2.79,13.6,15.23,0.37,4.94,11.11,3.53,0.38,,0.44,0.08,,52.05,0.97,2.28,8.31,0.25,15.29,20.94,0.28,,,,0.101,1398.15,,,,,,
"Husen, A., Almeev, R.R., Holtz, F. (2016)-AH5 ShR501",50.09,1.98,14.34,12.61,0.4,6,11.4,2.69,0.22,,0.29,0.08,,52.07,0.85,3.85,8.22,0.35,16.71,18.82,0.33,,,,0.402,1448.15,,,,,,
"Husen, A., Almeev, R.R., Holtz, F. (2016)-AH5 ShR504",48.69,2.58,13.51,16.22,0.47,5.34,9.9,2.99,0.31,,,0.08,,51.49,0.82,3.12,10.79,0.53,16.26,16.68,0.29,,,,0.401,1423.15,,,,,,
"Husen, A., Almeev, R.R., Holtz, F. (2016)-AH5 ShR507",46.2,3.8,14.3,18.84,0.47,3.26,9.04,3.05,0.42,,0.63,0.08,,50.25,1.06,3.89,14.76,0.57,13.95,14.93,0.47,,,,0.698,1423.15,,,,,,
"Husen, A., Almeev, R.R., Holtz, F. (2016)-AH5 ShR509",47.92,3,13.14,17.26,0.45,4.87,9.66,2.95,0.33,,0.42,0.07,,50.82,0.89,4.1,12.2,0.53,14.86,16.23,0.48,,,,0.7,1448.15,,,,,,
"Husen, A., Almeev, R.R., Holtz, F. (2016)-AH5 ShR511",49.88,2.11,14.67,12.83,0.41,5.64,10.99,2.99,0.24,,0.24,0.14,,51.76,0.67,4.18,8.41,0.29,15.49,19.23,0.49,,,,0.7,1473.15,,,,,,
"Husen, A., Almeev, R.R., Holtz, F. (2016)-AH5 ShR519",49.06,2.86,12.65,16.22,0.49,4.79,10.05,3.02,0.34,,0.52,0.09,,52.2,0.83,2.05,10.17,0.49,15.92,18.38,0.25,,,,0.203,1398.15,,,,,,
"Husen, A., Almeev, R.R., Holtz, F. (2016)-AH5 ShR522",46.26,4.1,11.93,20.07,0.59,4.04,9.16,2.93,0.41,,0.51,0.08,,51.17,1.21,2.7,14.41,0.64,14.29,15.5,0.33,,,,0.402,1398.15,,,,,,
"Husen, A., Almeev, R.R., Holtz, F. (2016)-AH6 ShR602",45.73,1.87,13.21,16.66,0.33,6.17,12.33,3.34,0.35,0.11,,0.07,,51.17,0.79,3.9,7.01,0.17,14.98,21.55,0.3,,,,0.202,1423.15,,,,,,
"Husen, A., Almeev, R.R., Holtz, F. (2016)-AH6 ShR605",47.63,1.07,15.99,11.5,0.23,7.74,13.31,2.4,0.14,0.05,,0.1,,50.94,0.47,5.47,5.89,0.16,16.03,21.05,0.28,,,,0.402,1473.15,,,,,,
"Husen, A., Almeev, R.R., Holtz, F. (2016)-AH6 ShR611",47.32,1.15,16.81,12.01,0.22,7.68,12.13,2.53,0.15,0.03,,0.07,,50.81,0.48,7.01,5.99,0.19,16.16,19.46,0.41,,,,0.7,1498.15,,,,,,
"Husen, A., Almeev, R.R., Holtz, F. (2016)-AH6 ShR619",46.18,1.63,15.42,14.34,0.25,6.32,12.25,3.38,0.22,0.04,,0.06,,50.56,0.75,5.08,6.96,0.18,14.86,20.85,0.37,,,,0.402,1448.15,,,,,,
"Husen, A., Almeev, R.R., Holtz, F. (2016)-AH6 ShR621",48.94,1.03,15.63,10.37,0.23,7.81,14.04,2.64,0.12,0.07,,0.07,,50.81,0.45,5.14,5.03,,16.17,21.61,0.27,,,,0.202,1473.15,,,,,,
"Johnson, K.T.M. (1998)-E10",51.4,2.7,14.5,10.6,0.21,5.69,9.03,2.55,0.45,,,,,50.6,0.85,9.84,6.82,0.17,13.6,15.9,1.55,0.01,,,2.5,1636.15,,,,,,
"Johnson, K.T.M. (1998)-E11",48.5,2.5,13.29,9.67,0.14,6.88,8.5,2.62,0.43,,,,,48.9,0.79,9.03,6.15,0.15,14.9,16,1.64,0.01,,,2.5,1664.15,,,,,,
"Johnson, K.T.M. (1998)-E12",50.8,2.49,14.17,10.2,0.15,6.21,10,2.43,0.41,,,,,50.8,0.7,9.01,6.46,0.15,14.4,17.2,1.51,,,,2.5,1608.15,,,,,,
"Johnson, K.T.M. (1998)-E4",54.4,2.87,16,9.6,0.16,5.37,8.5,2.71,0.55,,,,,50.3,1.01,8.76,7.5,0.16,13.9,16.7,1.12,0.01,,,2,1598.15,,,,,,
"Johnson, K.T.M. (1998)-E5",50.1,2.53,14.2,9.79,0.17,6.63,10.4,2.38,0.43,,,,,50.9,0.88,7.89,6.28,0.15,14.9,17.5,1,0.02,,,2,1623.15,,,,,,
"Johnson, K.T.M. (1998)-E7",50.1,2.65,14.3,10.5,0.22,5.72,9.36,2.61,0.52,,,,,49.4,0.84,9.36,6.84,0.15,14.2,16.5,1.43,0.01,,,2.5,1636.15,,,,,,
"Johnson, K.T.M. (1998)-E8",51.6,2.58,14.4,10.1,0.16,5.79,10.1,2.25,0.46,,,,,51.6,0.78,9.68,6.33,0.14,13.6,16,1.48,0.01,,,2.5,1664.15,,,,,,
"Johnson, K.T.M. (1998)-E9",51,2.96,14.6,10.4,0.15,5.1,8.66,2.69,0.49,,,,,50,0.81,10.6,7.76,0.18,13.2,15.5,1.77,0.01,,,2.5,1636.15,,,,,,
"Johnson, K.T.M. (1998)-RH30-1",51.4,3.07,14.4,10.2,0.14,5.21,9.24,2.48,0.57,,,,,50.2,0.91,11.5,7.46,0.2,12.2,15.1,2.04,0.02,,,3,1703.15,,,,,,
"Johnson, K.T.M. (1998)-RH30-1",51.4,3.07,14.4,10.2,0.14,5.21,9.24,2.48,0.57,,,,,50.2,0.91,11.5,7.46,0.2,12.2,15.1,2.04,0.02,,,3,1703.15,,,,,,
"Johnson, K.T.M. (1998)-Z20-1",51.1,2.5,14,9.96,0.12,6.76,10.5,2.39,0.44,,,,,51.3,0.76,7.11,6.4,0.15,15.9,16.9,1.01,0.02,,,2,1613.15,,,,,,
"Johnson, K.T.M. (1998)-Z20-2",50.6,2.69,14.6,10,0.16,5.55,9.68,2.68,0.52,,,,,50.7,1.02,7.92,7.27,0.2,15,16,0.96,0.02,,,2,1598.15,,,,,,
"Johnson, K.T.M. (1998)-Z25-1",52.6,3.02,15.3,10.2,0.16,4.25,8.65,2.81,0.65,,,,,49.5,1.05,10.8,8.36,0.21,12.5,15.5,1.63,0.01,,,2.5,1613.15,,,,,,
"Johnson, K.T.M. (1998)-Z25-2",51.1,2.74,14.5,10.4,0.15,5.98,9.77,2.73,0.51,,,,,50.8,0.81,9.26,6.81,0.16,13.9,16.2,1.37,0.01,,,2.5,1663.15,,,,,,
"Johnson, K.T.M. (1998)-Z30-1",52.6,2.42,14.1,9.71,0.2,6.81,11,2.26,0.46,,,,,52.2,0.73,10.4,5.65,0.12,13.6,16.11,1.73,0.02,,,3,1743.15,,,,,,
"Johnson, K.T.M. (1998)-Z30-1",52.6,2.42,14.1,9.71,0.2,6.81,11,2.26,0.46,,,,,52.2,0.73,10.4,5.65,0.12,13.6,16.11,1.73,0.02,,,3,1743.15,,,,,,
"Johnston, A.D. (1986)-393",53.22,0.8,18.99,9.36,0.14,5.22,10.06,2.1,0.38,,,,,49.25,0.61,12.21,7.57,0.21,14.12,16.09,0.83,0.03,,,2,1598.15,,,,,,
"Johnston, A.D. (1986)-396",50.66,0.51,19.22,8.43,0.52,5.88,10.49,1.99,0.33,,,,,47.64,0.52,12.99,5.95,0.22,14.02,16.65,0.84,0.01,,,2,1623.15,,,,,,
"Johnston, A.D. (1986)-404",57.14,0.66,18.07,7.56,0.13,3.49,10.01,2.28,0.43,,,,,48.84,0.29,17.13,6.5,0.17,10.07,16.48,1.69,0.01,,,3,1723.15,,,,,,
"Johnston, A.D. (1986)-404",57.14,0.66,18.07,7.56,0.13,3.49,10.01,2.28,0.43,,,,,48.84,0.29,17.13,6.5,0.17,10.07,16.48,1.69,0.01,,,3,1723.15,,,,,,
"Johnston, A.D. (1986)-407",59.64,1.01,17.67,6.25,0.07,2.24,8.78,2.82,0.87,,,,,48.91,0.37,16.58,7.74,0.17,9.68,15.07,1.81,0.01,,,3,1673.15,,,,,,
"Johnston, A.D. (1986)-407",59.64,1.01,17.67,6.25,0.07,2.24,8.78,2.82,0.87,,,,,48.91,0.37,16.58,7.74,0.17,9.68,15.07,1.81,0.01,,,3,1673.15,,,,,,
"Johnston, A.D. (1986)-408",50.86,0.68,18.75,8.36,0.14,5.35,9.97,1.84,0.34,,,,,48.7,0.48,12.62,6.36,0.17,12.59,16.19,0.99,0.02,,,2.45,1648.15,,,,,,
"Johnston, A.D. (1986)-409",56.71,0.67,17.2,6.42,0.09,3.47,9.34,3.08,0.63,,,,,50.12,0.56,12.03,7.98,0.13,12.3,17.41,1.34,0.01,,,2.3,1548.15,,,,,,
"Johnston, A.D. (1986)-425",51.72,1.7,16.71,10.9,0.12,8.34,8.58,2.22,0.09,,,,,48.01,1.48,15.22,9.82,0.06,9.37,9.97,2.06,0.07,,,2.6,1706.15,,,,,,
"Johnston, A.D. (1986)-425",51.72,1.7,16.71,10.9,0.12,8.34,8.58,2.22,0.09,,,,,48.01,1.48,15.22,9.82,0.06,9.37,9.97,2.06,0.07,,,2.6,1706.15,,,,,,
"Johnston, A.D. (1986)-428",51.79,0.66,19.35,9.21,0.18,5.18,9.82,1.81,0.33,,,,,47.12,0.35,15,6.9,0.19,12.65,16.38,0.93,0.01,,,2.25,1598.15,,,,,,
"Johnston, A.D. (1986)-429",52.02,1.57,17.7,10.1,0.15,6.84,10.38,2.35,0.27,,,,,49.73,0.97,13.51,6.5,0.17,12.49,16.16,1.69,0.01,,,2.7,1728.15,,,,,,
"Johnston, A.D. (1986)-435",52.48,0.72,18.77,7.74,0.16,4.94,9.9,1.72,0.34,,,,,46.97,0.26,16.29,6.09,0.13,12.11,15.47,1.21,0.02,,,2.7,1683.15,,,,,,
"Juster, C.T., Grove, T.L., Perfit, M.R. (1989)-C-2",52,2.23,12.9,12.5,,6.3,10.6,2.17,0.1,,,,,53.4,0.55,1.6,9.05,,18.7,16.9,0.1,,,,0.0001,1422.15,,,,,,
"Juster, C.T., Grove, T.L., Perfit, M.R. (1989)-C-4",51.4,2.3,12.5,13.5,,6.03,9.94,2.25,0.07,,,,,52.3,0.38,1.77,9.63,,17.8,17.3,0.17,,,,0.0001,1416.15,,,,,,
"Juster, C.T., Grove, T.L., Perfit, M.R. (1989)-C-7",51,2.78,12.3,14,,5.63,10,2.53,0.13,,,,,51.9,0.71,3.03,9.74,,17.5,17.3,0.19,,,,0.0001,1407.15,,,,,,
"Juster, C.T., Grove, T.L., Perfit, M.R. (1989)-C-ll",49.9,3.61,11.8,15.2,,5.2,9.67,2.53,0.15,,,,,53.5,0.5,0.83,17.3,,22.9,5.07,0.05,,,,0.0001,1395.15,,,,,,
"Kawamoto, T. (1996)-1",49.5,1.19,17.4,10.52766,,7.36,10.2,2.28,0.26,,0.12,26.2,,50.5,0.8,5.7,9,,15.6,17.7,0.5,,,,0.5,1398.15,,,,,,
"Kawamoto, T. (1996)-15",50.2,1.06,17.9,9.4479,,7.03,10.3,2.39,0.27,,0.24,3.4,,50.9,0.5,5.8,6.7,,16.1,19.2,0.5,,,,0.5,1373.15,,,,,,
"Kawamoto, T. (1996)-17",54.2,1.22,19.1,6.424572,,5.7,8.97,3.08,0.36,,0.26,4.8,,52,0.1,4.1,4.4,,16.7,22.5,0.3,,,,0.5,1323.15,,,,,,
"Kawamoto, T. (1996)-18",60,0.79,18.1,4.687958,,4,6.83,3.86,0.55,,0.68,4.5,,51.8,0.6,5.3,6.3,,16.7,20.2,0.6,0.1,,,0.5,1323.15,,,,,,
"Kawamoto, T. (1996)-2",54.4,1.81,16.9,8.14319,,5.34,8.52,3.05,0.56,,0.39,22.7,,53,0.5,5.7,9.9,,28.6,1.6,0.1,,,,0.5,1373.15,,,,,,
"Kawamoto, T. (1996)-21",65.3,0.27,19,2.56443,,2.2,4.01,4.88,0.91,,0.8,10,,50.8,0.4,5.8,6,,15.8,19.9,0.6,0.1,,,0.5,1248.15,,,,,,
"Kawamoto, T. (1996)-22",64.5,0.31,18.7,2.465452,,2.63,5.61,4.22,0.73,,0.52,10.3,,48.9,0.5,7,6.3,,13.4,20.8,0.3,,,,0.5,1248.15,,,,,,
"Kawamoto, T. (1996)-23",63.4,0.35,18.9,2.6994,,2.76,5.53,4.44,0.74,,0.86,9,,49.8,0.6,5.7,8,,13.5,19.6,0.7,,,,0.5,1248.15,,,,,,
"Kawamoto, T. (1996)-4",57.5,1.74,17.2,6.406576,,3.88,7.25,3.84,0.7,,0.79,2.7,,50.3,0.8,6.1,8,,16.2,18.8,0.8,,,,0.5,1348.15,,,,,,
"Kawamoto, T. (1996)-8",63.5,0.35,18.9,2.6994,,2.96,5.3,4.44,0.74,,0.86,17.4,,50.4,0.9,4.8,10.4,,14.8,17.2,0.4,,,,0.5,1248.15,,,,,,
"Kelemen, P.B., Joyce, D.B., Webster, J.D., Holloway, J.R. (1990)-1050-2",50.8,2.5,17.8,8.2996,0.1,2.1,10.1,3.1,0.7,,,4.6,,50.044,1.424,4.094,6.047,0.208,15.276,20.219,0.349,,0.28,,0.4985,1325.15,,,,,,
"Kelemen, P.B., Joyce, D.B., Webster, J.D., Holloway, J.R. (1990)-1050-3",49.4,2.3,18.2,8.50962,0.1,6.6,7.2,3.2,0.7,,,4.7,,50.537,1.338,3.742,6.7,0.192,15.597,19.919,0.291,,0.321,,0.4985,1325.15,,,,,,
"Kelemen, P.B., Joyce, D.B., Webster, J.D., Holloway, J.R. (1990)-1050-4",49.3,2.3,17.2,10.8495,0.2,4.2,8.2,3,0.7,,,4.6,,49.689,1.462,3.99,7.161,0.146,14.814,19.83,0.327,,0.27,,0.4985,1325.15,,,,,,
"Kelemen, P.B., Joyce, D.B., Webster, J.D., Holloway, J.R. (1990)-1050-5",47.7,2.3,18.2,11.15952,0.1,7.4,5.5,3,0.7,,,4.6,,50.846,1.183,3.367,5.607,0.207,15.909,20.261,0.361,,0.279,,0.4985,1325.15,,,,,,
"Kelemen, P.B., Joyce, D.B., Webster, J.D., Holloway, J.R. (1990)-1050-6",48.4,2.1,17.1,9.97956,0.1,6.4,7.5,2.9,0.7,,,4.3,,50.382,1.531,3.814,6.307,0.212,16.074,19.477,0.28,,0.306,,0.4985,1325.15,,,,,,
"Kelemen, P.B., Joyce, D.B., Webster, J.D., Holloway, J.R. (1990)-1075-1",49.4,2.7,15,10.7996,0.2,9.6,8,0.6,0.6,,,3.6,,50.873,1.091,3.331,0.789,0.187,16.358,19.704,0.306,,0.662,,0.4835,1348.15,,,,,,
"Kelemen, P.B., Joyce, D.B., Webster, J.D., Holloway, J.R. (1990)-1075-2",48.1,2.7,14.7,11.46954,0.2,6.5,9.4,2.6,0.6,,,3.8,,50.215,1.619,3.739,0.677,0.198,15.77,18.781,0.307,,0.332,,0.4835,1348.15,,,,,,
"Kelemen, P.B., Joyce, D.B., Webster, J.D., Holloway, J.R. (1990)-1150-1",50.7,3.3,18.4,6.16974,0.1,3.7,9.8,3,0.7,,,4.4,,51.22,0.95,3.23,0.97,0.175,17.602,18.458,0.32,,0.733,,0.4825,1423.15,,,,,,
"Kelemen, P.B., Joyce, D.B., Webster, J.D., Holloway, J.R. (1990)-1150-2",49.5,2.7,14.4,7.9497,0.2,7.8,10.1,2.4,0.6,,,3.5,,51.297,0.965,3.476,1.265,0.185,17.568,18.116,0.344,,0.519,,0.4825,1423.15,,,,,,
"Kelemen, P.B., Joyce, D.B., Webster, J.D., Holloway, J.R. (1990)-1150-3",49,2.9,15,9.60962,0.2,6.2,9.9,2.6,0.6,,,3.8,,51.386,0.949,3.22,1.407,0.213,17.308,18.373,0.384,,0.539,,0.4825,1423.15,,,,,,
"Kennedy, A.K., Grove, T.L., Johnson, R.W. (1990)-12",49.5,1,15.3,11.597536,0.22,4.59,9.8,3.05,3.15,,0.48,,,51.1,0.52,3.42,6.96,0.15,15,22.4,0.25,,0.09,,0.0001,1408.15,,,,,,
"Kennedy, A.K., Grove, T.L., Johnson, R.W. (1990)-4",48.3,0.91,15.5,11.018638,0.23,5.37,10.9,3.03,2.74,,0.5,,,51.3,0.44,3.65,6.19,0.14,15.1,21.8,0.33,,0.24,,0.0001,1409.15,,,,,,
"Kennedy, A.K., Grove, T.L., Johnson, R.W. (1990)-5",48.6,0.91,15.4,10.997636,0.22,5.31,10.8,3.06,2.66,,0.5,,,50.8,0.53,3.52,6.62,0.11,14.9,22.6,0.26,,0.24,,0.0001,1410.15,,,,,,
"Keshav, S., Gudfinnsson, G.H., Sen, G., Fei, Y. (2004)-368",45.64,0.89,15.78,9.79,0.18,15.7,10.43,1.3,0.39,0.11,,,,50.37,0.27,9.39,6.78,0.2,19.64,11.97,0.49,,0.22,,2,1683.15,,,,,,
"Keshav, S., Gudfinnsson, G.H., Sen, G., Fei, Y. (2004)-369",44.43,1.43,13.97,12.83,0.19,13.39,9.91,2.17,0.89,0.09,,,,51.37,0.21,8.89,8.19,0.2,18.16,13.24,0.8,,0.25,,2,1633.15,,,,,,
"Keshav, S., Gudfinnsson, G.H., Sen, G., Fei, Y. (2004)-370",45.01,1.07,14.67,11.51,0.18,14.08,10.2,2.02,0.73,0.09,,,,50.78,0.44,9.2,7.54,0.14,18.99,12.89,0.54,,0.15,,2,1658.15,,,,,,
"Keshav, S., Gudfinnsson, G.H., Sen, G., Fei, Y. (2004)-371",44.12,1.51,13.18,13.37,0.19,12.94,9.69,2.58,1.02,0.08,,,,51.12,0.3,8.73,8.3,0.2,18.16,13.84,0.84,,0.3,,2,1613.15,,,,,,
"Keshav, S., Gudfinnsson, G.H., Sen, G., Fei, Y. (2004)-372",45.49,0.87,15.61,9.27,0.18,15.81,10.34,1.1,0.41,0.12,,,,50.39,0.2,8.55,5.98,0.28,20.89,11.54,0.62,,0.23,,2.5,1733.15,,,,,,
"Keshav, S., Gudfinnsson, G.H., Sen, G., Fei, Y. (2004)-375",44.71,1.04,14.7,12.09,0.21,14.67,10.17,2.08,0.69,0.08,,,,50.3,0.19,9.77,6.34,0.15,19.71,11.89,0.66,,0.2,,2.5,1703.15,,,,,,
"Keshav, S., Gudfinnsson, G.H., Sen, G., Fei, Y. (2004)-377",44.14,1.19,13.61,13.01,0.19,13.69,9.94,2.58,1.01,0.08,,,,50.98,0.34,9.14,7.66,0.12,16.97,12.78,1.31,,0.14,,2.5,1673.15,,,,,,
"Keshav, S., Gudfinnsson, G.H., Sen, G., Fei, Y. (2004)-378",43.82,1.37,12.94,13.91,0.19,12.87,9.85,2.89,1.27,0.06,,,,51.27,0.3,8.94,7.75,0.13,16.71,12.99,1.29,,0.14,,2.5,1643.15,,,,,,
"Keshav, S., Gudfinnsson, G.H., Sen, G., Fei, Y. (2004)-383",46.01,0.7,16.28,8.12,0.21,16.29,10.49,1.04,0.21,0.15,,,,51.78,0.09,9.14,5.39,0.13,21.69,11.14,0.52,,0.14,,2.5,1751.15,,,,,,
"Kinzler, R.J. (1997)-L116",48.8,1.12,16.7,10.1,,9.52,8.98,3.74,0.6,0.16,0.11,,,51.4,0.28,9.11,6.99,0.07,20.3,10.5,1.3,,0.51,,1.9,1674.15,,,,,,
"Kinzler, R.J. (1997)-L117",43,0.52,13.5,8.51,,17,12,1.93,0.07,0.11,0.14,,,51.6,0.1,9.17,5.01,,21.9,11.5,0.66,,0.44,,2.3,1769.15,,,,,,
"Kinzler, R.J. (1997)-L119",43.8,0.41,13.8,8.07,,17.6,11.8,1.62,0.06,0.14,0.12,,,51.8,0.07,8.86,4.64,,22.7,11,0.57,,0.61,,2.3,1784.15,,,,,,
"Kinzler, R.J. (1997)-L120",46.1,0.85,14.6,8.66,,15.1,10.1,3.02,0.24,0.1,0.11,,,51.4,0.24,9.32,5.28,0.03,21.1,11.3,0.95,,0.44,,1.9,1689.15,,,,,,
"Kinzler, R.J. (1997)-L125",47.4,0.97,18,8.88,0.04,8.24,8.9,5.52,0.21,,0.07,,,51.8,0.35,9.88,6,0.03,19,12.1,1.39,,0.07,,1.5,1628.15,,,,,,
"Kinzler, R.J. (1997)-L127",47.1,0.76,17.3,9.47,,11.3,9.41,4.198,0.12,0.03,0.08,,,51.5,0.2,9.52,5.65,0.07,20.4,12.4,0.96,,0.07,,1.5,1643.15,,,,,,
