Balanced Global Dataset,Liquid (Glass) Composition - in Weight Percent,,,,,,,,,,,,,Clinopyroxene Compositions - in Weight Percent,,,,,,,,,,,,,,,,,,
Sample_ID,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,P2O5,H2O,,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,,P_GPa,T_K,,,,,,
"Baker, R.B., and Eggler, D.H. (1987)-953",47.6,2.07,14.9,15.7,0.31,5.7,8.23,3.02,1.16,,0.48,,,51.9,0.5,4.57,16.8,0.46,20.9,5.8,0.18,,,,0.8,1423.15,,,,,,
"Baker, R.B., and Eggler, D.H. (1987)-989",56.4,1.96,13.4,11.8,0.31,2.07,5.76,3.25,3.29,,0.54,,,49.6,0.7,3.63,18.3,0.65,15.3,11.1,0.33,,,,0.8,1398.15,,,,,,
"Barclay, J., Carmichael, I.S.E. (2004)-Jor46.10",52.01,0.94,16.01,3.64,0.13,2.9,4.8,5.51,3.2,,,5.36,,51.4,0.7,2.7,6,0.08,15.6,22.34,0.47,,,,0.221,1308.15,,,,,,
"Barclay, J., Carmichael, I.S.E. (2004)-Jor46.19",53.3,1.5,16.81,4.1,0.13,3.34,6.13,5.4,3.4,,,3,,51.4,0.86,3,6.9,0.1,15.2,22.4,0.51,,,,0.069,1273.15,,,,,,
"Barclay, J., Carmichael, I.S.E. (2004)-Jor46.3",56.69,0.38,16.85,2.07,0.09,1.56,2.25,5.56,4.29,,,3.43,,50.9,1,2.6,6.2,0.11,16,22.3,0.41,,,,0.094,1273.15,,,,,,
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)-B14",48.1,0.57,18.7,8.14,0.21,10.5,11.9,2.41,0.08,0.06,0.13,,,50.2,0.35,9.8,4.7,0.14,18.8,16,0.45,,0.13,,1.1,1563.15,,,,,,
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)-H100",48.6,0.63,18.8,8.76,0.16,9.69,11.5,2.73,0.1,0.03,0.03,,,48.7,0.37,11.8,6.31,0.11,15.9,15.4,0.75,,0.08,,1.5,1618.15,,,,,,
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)-H101",48.4,0.66,19.3,8.93,0.18,8.78,10.9,2.93,0.1,0.03,0.03,,,49.2,0.31,11.4,5.64,0.11,16.8,15.3,0.62,,0.12,,1.5,1588.15,,,,,,
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)-H141",49,0.88,17.4,11,0.1,8.34,10.6,2.89,0.16,,,,,51,0.43,7.02,6.56,0.15,19.8,14.8,0.38,,0.07,,1,1553.15,,,,,,
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)-H192",48,0.64,17.9,9.07,0.16,9.49,10.1,2.99,0.14,0.03,0.04,,,51.5,0.45,8.1,6.96,0.17,20.3,12.6,0.56,,0.09,,1.5,1613.15,,,,,,
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)-H203",47.4,0.8,17.8,9.99,0.16,9.32,8.61,4.44,0.21,0.02,0.13,,,49.9,0.4,11,6.83,0.18,19.2,11.7,0.89,,,,1.5,1628.15,,,,,,
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)-H235",49.9,0.65,17.4,7.9,0.1,10.8,11.5,2.3,0.11,,0.15,,,49.1,0.41,11.9,5,0.14,17.6,16.3,0.45,,0.13,,1.1,1566.15,,,,,,
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)-H81",48.1,0.89,17.4,10.7,0.19,8.33,10.7,3.12,0.15,0.04,0.07,,,51.3,0.51,7.1,5.97,0.2,18,17.2,0.43,,0.18,,1,1533.15,,,,,,
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)-H88",47,1.24,16.3,12.7,0.23,7.46,10,3.42,0.19,0.03,0.13,,,50.7,0.54,6.4,6.66,0.22,17.6,17,0.45,,0.14,,1,1513.15,,,,,,
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)-HI 34",48.6,0.66,19.7,9.21,0.13,8.24,10.7,2.93,0.11,,0.03,,,48.7,0.36,12.9,5.61,0.15,15.7,16.9,0.86,,0.1,,1.5,1578.15,,,,,,
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)-HI 35",49,0.73,19.7,9.8,0.13,7.24,9.62,3.72,0.17,,0.03,,,49.1,0.45,12.3,7.12,0.16,15.8,15.5,0.99,,0.04,,1.5,1563.15,,,,,,
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)-HI 36",47.9,1.53,18.1,13.8,0.16,5.31,7.04,5.65,0.47,,0.24,,,49.2,0.66,9.8,10.6,0.23,16.3,12.7,1.01,,0.02,,1.5,1548.15,,,,,,
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)-HI 97",47.2,0.84,19.3,10.8,0.16,6.28,8.61,4.98,0.23,,0.11,,,51.7,0.28,8.38,6.69,0.15,21.4,11.7,0.64,,0.05,,1.5,1598.15,,,,,,
