Initial Global Dataset,Liquid (Glass) Composition - in Weight Percent,,,,,,,,,,,,,Clinopyroxene Compositions - in Weight Percent,,,,,,,,,,,,
Author - year - id,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,P2O5,H2O,,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,,P_GPa,T_K
"Auwera, J. V., and Longhi, J. (1994)-TJ-52",54.10,3.26,11.80,13.20,0.20,2.83,6.57,2.83,1.62,0.03,1.15,,,50.80,0.70,1.30,23.10,0.33,18.60,3.20,0.18,0.01,,,0.0001,1353.15
"Auwera, J. V., and Longhi, J. (1994)-TJ-8",49.10,3.22,14.40,14.80,0.14,3.20,6.72,3.34,1.70,,1.13,,,48.80,1.16,5.22,16.30,0.25,13.20,13.90,0.63,,0.04,,1,1373.15
"Auwera, J.V., Longhi, J., and Duchesne, J.C. (1998)-VB-13",55.18,2.33,11.79,15.58,0.22,1.39,5.12,4.68,4.04,,1.73,,,49.84,0.79,0.95,30.89,0.59,12.70,4.42,0.08,,0.01,,0.5,1347.15
"Auwera, J.V., Longhi, J., and Duchesne, J.C. (1998)-VB-14",45.80,4.16,10.87,20.17,0.32,3.25,7.49,2.69,2.04,,2.84,,,50.93,0.83,1.15,26.25,0.51,16.41,4.19,0.08,,0.01,,0.5,1351.15
"Baker, M.B., Grove, T.L., Price, R. (1994)-82-94A-15",55.90,1.11,14.86,7.41,0.17,6.00,9.00,3.40,0.81,0.05,0.28,,,52.90,0.39,2.60,5.70,0.13,18.00,20.00,0.30,,0.60,,0.0001,1433.15
"Baker, M.B., Grove, T.L., Price, R. (1994)-82-94A-16",56.80,1.36,14.40,7.80,0.16,5.17,8.30,3.61,0.97,,0.37,,,52.70,0.46,2.20,6.70,0.20,18.20,18.20,0.35,,0.70,,0.0001,1422.15
"Baker, M.B., Grove, T.L., Price, R. (1994)-82-94A-18",57.70,1.48,14.44,7.40,0.14,4.46,7.30,4.00,1.24,,0.29,,,53.00,0.50,1.90,7.00,0.16,17.70,18.90,0.25,,0.50,,0.0001,1413.15
"Baker, R.B., and Eggler, D.H. (1987)-1008",49.80,3.06,12.50,17.10,0.38,3.09,6.97,3.11,1.85,,0.70,,,52.00,0.61,2.24,24.00,0.78,16.90,4.94,0.16,,,,0.8,1398.15
"Baker, R.B., and Eggler, D.H. (1987)-1010",57.20,1.65,13.80,10.90,0.23,2.23,5.67,3.78,3.02,,0.40,,,50.90,0.98,2.35,17.90,0.45,15.80,11.30,0.24,,,,0.8,1398.15
"Baker, R.B., and Eggler, D.H. (1987)-1074",60.70,1.10,15.30,8.71,0.31,1.15,5.97,4.09,2.10,,0.41,,,51.40,0.47,1.48,25.00,0.75,16.00,5.05,0.06,,,,0.8,1348.15
"Baker, R.B., and Eggler, D.H. (1987)-1075",60.80,0.89,13.40,10.20,0.41,2.14,4.96,3.98,2.34,,0.46,,,51.40,0.57,1.54,23.80,0.85,16.90,4.80,0.08,,,,0.8,1348.15
"Baker, R.B., and Eggler, D.H. (1987)-1086",59.20,1.23,14.60,8.61,0.22,2.74,5.82,3.70,2.75,,0.32,,,51.80,0.43,1.76,11.30,0.58,14.60,18.40,0.27,,,,0.0001,1379.15
"Baker, R.B., and Eggler, D.H. (1987)-1098",42.80,5.63,12.20,20.00,0.35,3.63,8.20,2.27,2.06,,1.55,,,48.80,1.96,6.50,15.10,0.37,12.90,14.70,0.57,,,,0.8,1448.15
"Baker, R.B., and Eggler, D.H. (1987)-11",66.20,0.70,14.70,4.94,,0.78,1.98,3.71,5.19,,0.26,,,51.50,0.52,1.98,11.20,,14.50,19.30,0.33,,,,0.0001,1333.15
"Baker, R.B., and Eggler, D.H. (1987)-1147",60.60,1.00,16.00,5.56,0.14,1.80,4.47,3.61,3.58,,0.18,1.80,,52.30,0.57,1.46,10.80,0.51,14.10,19.50,0.19,,,,0.2,1293.15
"Baker, R.B., and Eggler, D.H. (1987)-1148",60.00,1.12,15.30,6.72,0.13,1.32,4.34,3.79,3.26,,0.28,1.80,,51.90,0.69,1.68,11.00,0.31,14.30,19.30,0.37,,,,0.2,1293.15
"Baker, R.B., and Eggler, D.H. (1987)-1162",59.50,1.61,15.20,6.38,0.24,2.26,5.95,3.71,1.58,,0.30,1.80,,51.60,0.95,2.84,9.69,0.41,14.40,19.20,0.39,,,,0.2,1333.15
"Baker, R.B., and Eggler, D.H. (1987)-1164",61.50,1.09,15.70,5.47,0.11,2.06,4.90,3.60,2.87,,0.21,1.80,,51.00,0.61,1.86,10.20,0.36,14.80,19.90,0.31,,,,0.2,1333.15
"Baker, R.B., and Eggler, D.H. (1987)-1165",59.90,1.28,15.20,6.90,0.25,2.24,5.46,3.58,2.44,,0.38,1.80,,51.90,0.55,1.86,11.10,0.55,14.60,19.30,0.39,,,,0.2,1333.15
"Baker, R.B., and Eggler, D.H. (1987)-1173",68.40,1.21,14.20,2.13,0.20,0.85,2.31,3.73,3.98,,0.18,1.90,,51.80,0.40,1.84,9.71,0.49,15.10,19.80,0.26,,,,0.2,1293.15
"Baker, R.B., and Eggler, D.H. (1987)-1174",66.10,0.77,13.40,3.66,0.07,0.65,2.45,3.69,3.62,,0.23,1.90,,51.60,0.48,1.98,11.20,0.52,14.50,19.30,0.25,,,,0.2,1293.15
"Baker, R.B., and Eggler, D.H. (1987)-1180",55.70,1.99,15.80,5.87,0.19,3.66,7.44,3.97,1.42,,0.38,1.80,,50.40,1.55,4.50,6.66,0.40,15.60,19.00,0.52,,,,0.2,1373.15
"Baker, R.B., and Eggler, D.H. (1987)-1222",59.30,1.22,14.70,8.13,0.11,2.43,5.53,3.56,3.36,,0.33,,,51.30,0.49,1.67,10.50,0.46,14.30,19.90,0.35,,,,0.0001,1373.15
"Baker, R.B., and Eggler, D.H. (1987)-1234",56.30,2.43,14.00,6.87,0.31,4.19,7.49,3.75,1.49,,0.44,1.80,,51.00,1.85,3.07,7.53,0.55,16.50,18.10,0.36,,,,0.2,1393.15
"Baker, R.B., and Eggler, D.H. (1987)-1248",58.70,1.13,16.50,5.60,0.14,1.56,4.55,3.88,3.61,,0.25,1.80,,51.40,0.53,1.77,10.20,0.37,14.60,20.00,0.29,,,,0.2,1293.15
"Baker, R.B., and Eggler, D.H. (1987)-1249",58.80,1.19,16.20,4.32,0.20,2.50,4.85,3.91,2.64,,0.25,1.80,,51.80,0.72,2.06,8.13,0.40,16.40,19.30,0.08,,,,0.2,1293.15
"Baker, R.B., and Eggler, D.H. (1987)-1280",52.30,3.27,12.30,13.70,0.34,3.83,8.61,2.15,1.46,,0.46,,,51.20,0.92,1.95,11.90,0.54,14.30,19.10,0.22,,,,0.0001,1373.15
"Baker, R.B., and Eggler, D.H. (1987)-1286",62.40,1.88,15.20,4.29,0.16,1.10,3.08,4.21,4.65,,0.52,2.00,,49.90,0.71,4.14,10.60,0.21,15.80,15.90,0.27,,,,0.5,1333.15
"Baker, R.B., and Eggler, D.H. (1987)-1287",57.20,1.20,15.70,6.58,0.19,2.13,5.31,3.85,2.51,,0.27,1.70,,50.40,0.75,3.38,11.60,0.40,14.10,18.40,0.33,,,,0.5,1333.15
"Baker, R.B., and Eggler, D.H. (1987)-1304",51.40,2.12,13.00,13.50,0.39,4.55,9.50,2.65,1.23,,0.35,,,51.30,0.51,2.37,10.30,0.36,14.30,20.10,0.13,,,,0.0001,1395.15
"Baker, R.B., and Eggler, D.H. (1987)-3",63.70,1.14,14.30,7.36,,1.61,3.78,4.21,4.22,,0.33,,,52.20,0.53,1.67,11.20,,15.50,19.00,0.42,,,,0.0001,1368.15
"Baker, R.B., and Eggler, D.H. (1987)-4",63.60,1.09,14.60,5.81,,1.42,3.04,4.00,5.11,,0.34,,,51.10,0.49,1.70,9.97,,14.60,20.00,0.43,0.10,,,0.0001,1368.15
"Baker, R.B., and Eggler, D.H. (1987)-704",65.20,1.11,14.60,2.07,0.08,0.92,2.46,4.06,4.10,,0.26,2.00,,51.80,0.47,1.88,10.50,0.45,14.70,19.40,0.39,,,,0.2,1273.15
"Baker, R.B., and Eggler, D.H. (1987)-802",48.70,0.69,17.20,9.69,0.09,8.51,11.60,2.63,0.44,,0.12,,,51.20,0.33,7.25,5.89,0.16,17.70,17.50,0.44,,,,0.8,1523.15
"Baker, R.B., and Eggler, D.H. (1987)-805",48.20,0.98,16.70,9.83,0.17,8.13,11.80,2.64,0.42,,0.23,,,50.50,0.55,7.06,5.25,0.13,16.50,18.90,0.33,,,,0.8,1473.15
