Initial Global Dataset,Liquid (Glass) Composition - in Weight Percent,,,,,,,,,,,,,Clinopyroxene Compositions - in Weight Percent,,,,,,,,,,,,
Author - year - id,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,P2O5,H2O,,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,,P_GPa,T_K
"Rhodes, J.M., Lofgren, G.E., Smith, D.P. (1979)-R-12",45.57,7.51,9.81,22.03,0.28,3.50,10.50,0.39,,0.12,,,,49.94,1.45,6.63,13.41,0.27,13.13,15.69,0.17,,0.46,,0.0001,1398.15
"Robinson, J.A.C., Wood, B.J., Blundy, J.D. (1998)-MPY #22 (reversal)",51.30,0.98,19.30,5.90,,8.13,7.85,6.45,,0.09,,,,51.20,0.70,8.22,4.34,,18.70,14.90,1.15,,0.78,,1.5,1553.15
"Robinson, J.A.C., Wood, B.J., Blundy, J.D. (1998)-MPY #39",49.60,1.17,17.90,5.47,,11.40,10.80,3.44,,0.31,,,,50.60,0.71,9.55,3.69,,18.60,15.00,1.02,,0.82,,1.5,1564.15
"Robinson, J.A.C., Wood, B.J., Blundy, J.D. (1998)-MPY #41",49.60,0.94,16.50,5.50,,13.00,11.00,3.13,,0.38,,,,51.80,0.38,7.22,3.25,,20.80,14.50,0.68,,1.40,,1.5,1591.15
"Robinson, J.A.C., Wood, B.J., Blundy, J.D. (1998)-MPY #43",52.90,1.07,21.00,4.74,,6.32,6.46,7.49,,0.03,,,,49.40,1.02,12.50,3.89,,16.20,15.40,1.42,,0.20,,1.5,1540.15
"Robinson, J.A.C., Wood, B.J., Blundy, J.D. (1998)-MPY #48 (reversal)",52.70,1.12,20.60,4.55,,7.03,6.70,7.27,,0.02,,,,50.20,0.86,10.50,4.36,,18.90,13.60,1.32,,0.20,,1.5,1542.15
"Robinson, J.A.C., Wood, B.J., Blundy, J.D. (1998)-MPY #61",48.50,0.93,16.20,5.69,,14.20,12.20,1.88,,0.45,,,,51.30,0.44,8.74,3.12,,20.70,14.40,0.50,,0.79,,1.5,1592.15
"Robinson, J.A.C., Wood, B.J., Blundy, J.D. (1998)-MPY #62",48.90,1.30,18.60,5.73,,11.10,10.70,3.55,,0.14,,,,51.30,0.62,8.43,3.13,,20.00,15.10,0.62,,0.79,,1.5,1562.15
"Robinson, J.A.C., Wood, B.J., Blundy, J.D. (1998)-Tinaquillo #64",49.00,1.19,18.40,6.47,,11.10,10.20,3.66,,0.06,,,,50.60,0.47,9.30,3.74,,19.80,14.80,0.85,,0.41,,1.5,1598.15
"Robinson, J.A.C., Wood, B.J., Blundy, J.D. (1998)-Tinaquillo Lherzolite #111 (reversal)",48.60,1.28,18.50,5.76,,11.60,10.70,3.34,,0.16,,,,50.80,0.68,9.16,3.36,,19.30,15.70,0.71,,0.37,,1.5,1609.15
"Robinson, J.A.C., Wood, B.J., Blundy, J.D. (1998)-Tinaquillo Lherzolite #50",52.50,0.99,20.00,4.80,,8.04,8.71,4.90,,0.02,,,,50.90,0.51,9.08,3.53,,18.90,15.70,1.04,,0.28,,1.5,1588.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-20421-20",45.83,1.14,20.64,7.85,0.29,1.89,6.73,6.83,5.05,,0.77,,,43.56,3.24,8.18,9.75,0.23,10.37,22.45,0.62,,,,0.0001,1365.65
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-20421-21",48.96,1.33,19.97,7.03,0.30,1.34,5.72,7.99,5.08,0.01,0.65,,,47.92,2.10,5.40,8.68,0.25,11.30,22.60,0.61,,,,0.0001,1337.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-94-08-13",44.32,1.31,18.18,11.53,0.24,3.22,8.95,5.29,4.28,0.01,1.37,,,45.59,1.84,8.64,8.30,0.12,11.82,22.87,0.32,,0.04,,0.0001,1389.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-94-08-2A",46.22,1.36,16.07,10.80,0.23,4.99,10.88,3.29,4.35,,1.24,,,50.04,0.79,4.45,6.72,0.13,13.96,23.12,0.38,,0.10,,0.0001,1449.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-94-08-4A",46.86,1.50,16.22,12.60,0.28,4.20,8.36,3.64,4.11,0.02,1.30,,,47.80,1.83,6.84,7.89,0.16,12.28,22.19,0.36,,0.30,,0.0001,1651.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-94-08A-24",47.32,1.49,16.39,9.76,0.19,4.96,10.78,2.35,4.34,0.03,1.21,,,48.91,1.06,4.98,5.56,0.21,14.22,22.60,0.22,,0.04,,0.0001,1433.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-94-18-6A",45.92,2.18,15.69,13.59,0.25,3.43,9.39,3.50,3.87,,1.36,,,45.54,2.16,8.64,8.07,0.16,11.68,22.24,0.36,,0.33,,0.0001,1406.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-BS-501-5A",53.43,2.29,16.05,7.52,0.10,3.48,7.44,2.78,4.94,,1.11,,,50.85,1.20,3.37,6.35,,15.12,21.93,0.38,,,,0.0001,1418.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-BS-501-6A",52.17,2.57,16.40,7.43,0.11,3.03,6.74,3.17,5.45,,1.64,,,49.80,1.50,4.10,7.23,0.13,15.08,21.92,0.32,,0.73,,0.0001,1406.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-COL-5A",60.20,1.16,14.50,8.12,0.11,3.43,6.36,4.20,1.84,0.02,0.28,,,52.52,0.50,1.75,8.42,0.28,17.35,17.58,0.37,,0.93,,0.0001,1418.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-CSQ-3-19",47.68,3.93,16.68,9.78,0.15,3.20,7.15,6.16,3.46,0.01,0.99,,,47.15,3.30,5.33,9.12,0.17,12.35,21.54,0.63,,0.10,,0.0001,1394.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-CSQ-3-20",50.74,2.12,19.83,6.63,0.11,2.04,4.95,7.55,4.60,,1.07,,,48.43,2.70,4.25,9.93,0.22,11.72,21.14,0.84,,0.05,,0.0001,1365.65
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-FG-4A",50.73,4.35,11.28,16.30,0.25,3.78,8.23,3.13,0.82,0.05,0.64,,,50.10,1.03,4.04,10.94,0.25,14.09,19.30,0.30,,0.28,,0.0001,1410.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-HC-63-4A",50.87,4.51,11.81,14.87,0.33,3.48,7.74,4.25,1.10,,0.61,,,50.60,1.53,2.31,11.25,0.31,13.53,19.71,0.39,,0.29,,0.0001,1410.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-K-14-13",48.42,2.76,19.30,7.83,0.21,2.62,6.24,6.76,4.60,,0.69,,,43.97,3.98,9.98,7.69,0.14,11.30,22.55,0.52,,0.08,,0.0001,1389.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-K-14-15",47.04,2.56,18.21,9.41,0.21,4.13,9.42,5.56,3.38,0.01,0.56,,,44.05,3.37,10.14,7.07,0.11,11.73,22.31,0.50,,0.24,,0.0001,1422.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-K-14-18",45.93,2.62,17.12,9.03,0.10,5.01,10.72,4.27,3.06,0.01,0.74,,,45.83,2.74,8.17,5.61,0.12,12.71,22.75,0.40,,0.93,,0.0001,1449.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-K-15-20",50.39,1.80,17.70,9.00,0.25,2.27,6.11,6.40,4.27,0.01,0.79,,,47.45,2.06,6.15,8.47,0.18,11.72,21.95,0.66,,0.04,,0.0001,1365.65
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-K-15-21",52.52,1.61,19.43,7.41,0.22,1.72,4.52,6.98,5.17,,0.50,,,49.13,1.45,3.95,9.23,0.33,12.63,22.10,0.59,,,,0.0001,1337.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-K-8-15",42.74,3.74,16.48,12.09,0.19,4.66,10.98,4.84,2.68,,1.09,,,44.84,3.33,9.14,7.52,0.10,11.78,22.60,0.46,,0.22,,0.0001,1422.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-K-8-18",43.79,2.98,18.45,9.56,0.15,4.85,11.92,3.07,3.03,0.01,0.64,,,44.76,3.52,9.13,6.57,0.07,11.90,23.01,0.36,,0.06,,0.0001,1449.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-K-8-19",45.38,3.35,17.61,10.70,0.19,3.52,8.78,5.30,3.70,0.01,1.38,,,44.54,3.79,8.55,9.20,0.20,11.14,22.42,0.54,,,,0.0001,1394.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-PC-OP-26",52.17,1.44,20.98,6.11,0.10,3.11,6.44,9.44,0.90,,0.43,,,51.54,0.94,2.51,5.23,0.08,14.85,23.37,0.75,,0.06,,0.0001,1345.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-PRT-13",56.40,3.19,15.40,8.24,0.10,2.61,4.75,5.84,2.75,,0.52,,,52.07,1.61,2.06,8.60,0.13,15.11,20.37,0.54,,0.37,,0.0001,1389.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-SAY-7E-19",51.42,2.25,17.47,5.49,0.08,2.95,5.23,5.77,5.78,0.02,1.60,,,46.84,2.05,5.19,8.20,0.09,13.87,21.73,0.38,,0.46,,0.0001,1394.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-SAY-7E-21",57.33,2.23,18.38,3.49,0.04,1.43,2.26,6.80,6.43,,0.73,,,51.51,1.17,2.54,6.25,0.08,15.89,22.12,0.29,,0.21,,0.0001,1337.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-SSC-1-15",44.35,3.75,15.45,12.73,0.17,4.40,10.51,4.41,2.42,,1.29,,,43.50,4.14,9.38,9.08,0.06,11.14,21.83,0.39,,,,0.0001,1422.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-SSC-1-18",44.93,2.91,15.57,11.38,0.10,5.66,11.25,4.12,1.76,0.02,0.77,,,46.70,2.22,6.45,7.73,0.11,13.18,22.27,0.35,,0.35,,0.0001,1449.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-SSC-1-19",43.60,3.63,15.13,12.67,0.15,4.02,10.06,5.08,2.76,0.01,1.98,,,49.37,1.61,5.58,7.46,0.13,14.05,22.14,0.45,,0.06,,0.0001,1394.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-SSC-2-20",51.44,2.33,17.27,9.37,0.22,2.32,5.33,7.05,3.71,,0.73,,,50.20,1.72,3.26,8.91,0.23,13.67,21.30,0.58,,,,0.0001,1365.65
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-TB-253-6A",53.63,3.64,15.32,9.34,0.20,2.82,6.04,4.31,3.96,,0.63,,,49.40,2.64,4.27,7.80,0.20,13.78,20.92,0.47,,0.39,,0.0001,1406.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-ws-13",52.37,3.28,13.13,13.08,0.17,2.93,6.99,3.94,2.24,,0.72,,,51.88,0.97,3.56,12.46,0.32,13.82,17.04,0.61,,,,0.0001,1389.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-ws-20",57.87,2.53,13.56,10.68,0.16,2.30,5.41,4.01,2.53,,0.77,,,51.14,0.96,2.42,15.00,0.27,13.69,15.69,0.42,,,,0.0001,1365.65
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-ws-4A",52.04,3.67,11.87,15.37,0.22,3.63,7.74,2.75,1.46,0.02,0.38,,,49.98,1.80,4.10,12.86,0.25,15.23,15.46,0.27,,0.31,,0.0001,1651.15
"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)-ws-5A",52.16,3.09,13.05,13.67,0.22,4.45,8.52,2.81,1.25,0.03,0.34,,,49.95,1.07,2.85,10.41,0.25,16.14,17.97,0.23,,0.21,,0.0001,1418.15
"Scaillet, B., MacDonald, R. (2003)-ND-002-15",76.41,0.09,11.89,1.44,,0.05,0.37,4.53,4.90,,,3.50,,51.37,0.77,1.95,9.33,0.56,10.69,20.19,1.62,0.32,,,0.155,1067.15
"Scaillet, B., MacDonald, R. (2003)-ND-002-16",77.55,0.11,11.48,1.32,,0.06,0.29,3.89,4.93,,,2.10,,45.78,4.35,5.65,7.90,0.03,11.04,22.70,0.96,0.12,,,0.155,1067.15
"Scaillet, B., MacDonald, R. (2003)-ND-002-18",76.81,0.07,11.83,1.31,,0.04,0.31,4.57,4.78,,,4.20,,52.53,0.16,1.54,14.93,0.78,9.07,18.54,2.60,0.27,,,0.152,1025.15
"Scaillet, B., MacDonald, R. (2003)-ND-002-19",77.20,0.09,11.49,1.36,,0.02,0.28,4.45,4.76,,,3.90,,45.47,3.94,6.15,7.66,0.03,11.31,22.56,0.88,0.15,,,0.152,1025.15
"Scaillet, B., MacDonald, R. (2003)-ND-002-23",77.09,0.05,12.33,0.99,,0.03,0.30,4.07,4.70,,,2.50,,51.71,1.08,3.02,8.89,0.44,10.24,19.80,3.07,0.53,,,0.155,969.15
"Scaillet, B., MacDonald, R. (2003)-ND-002-28",78.18,0.11,11.42,0.79,,0.05,0.22,3.91,4.70,,,2.20,,53.28,0.13,0.87,10.31,0.43,13.57,20.03,0.31,0.12,,,0.052,1063.15
"Scaillet, B., MacDonald, R. (2003)-ND-002-30",75.97,0.19,11.91,1.33,,0.03,0.28,4.26,5.07,,,2.50,,53.02,1.13,2.49,8.45,0.02,12.06,20.66,0.88,0.29,,,0.052,1063.15
"Scaillet, B., MacDonald, R. (2003)-SMN-49-25",73.42,0.14,10.71,3.81,,0.03,0.01,5.75,4.48,,,5.00,,49.70,1.30,0.65,30.62,0.09,0.28,0.58,12.92,0.07,,,0.155,952.15
"Scaillet, B., MacDonald, R. (2003)-SMN-49-27",70.67,0.17,11.67,3.04,,0.01,,6.36,4.65,,,3.90,,52.15,1.15,0.50,29.24,0.19,0.08,0.32,13.13,0.02,,,0.155,952.15
"Scaillet, B., MacDonald, R. (2003)-SMN-49-48",67.28,0.53,9.35,6.43,0.18,0.01,0.04,6.75,5.13,,,1.50,,52.03,1.35,1.12,28.44,0.07,0.06,0.22,12.04,0.22,,,0.15,1057.15
"Schmidt, M.W., Green, D.H., Hibberson, W.O. (2004)-G-32",49.13,0.47,8.82,9.14,,17.44,13.07,0.80,0.27,0.85,,,,55.86,0.04,1.33,5.14,,29.41,6.74,0.14,,1.60,,1.5,1673.15
"Schwab, B.E., Johnston, A.D. (2001)-INT-A1",53.75,0.30,18.11,3.81,0.06,8.38,10.91,2.21,1.08,0.15,,,,51.77,0.09,5.81,3.34,0.10,19.53,17.22,0.22,,1.12,,1,1543.15
"Schwab, B.E., Johnston, A.D. (2001)-INT-A12",50.30,0.30,17.42,5.85,0.11,11.51,12.40,1.49,0.82,0.33,,,,52.62,,5.05,3.14,0.11,20.20,17.17,0.24,,1.57,,1,1558.15
"Schwab, B.E., Johnston, A.D. (2001)-INT-A13",50.33,0.24,14.16,6.43,0.12,13.00,13.32,0.86,0.31,0.57,,,,52.94,,3.88,3.58,0.13,21.54,15.46,0.17,,1.76,,1,1588.15
"Schwab, B.E., Johnston, A.D. (2001)-INT-A3",50.68,0.15,12.27,6.49,0.12,15.03,13.65,0.62,0.17,1.06,,,,52.69,0.05,3.65,3.74,0.12,22.82,14.56,0.12,,2.11,,1,1603.15
"Schwab, B.E., Johnston, A.D. (2001)-INT-A8",50.75,0.28,16.10,5.39,0.11,11.11,12.93,1.38,0.45,0.42,,,,51.95,0.06,4.66,3.54,0.10,20.69,16.69,0.22,,1.51,,1,1573.15
"Schwab, B.E., Johnston, A.D. (2001)-INT-B10",50.96,0.27,16.58,5.58,0.10,11.32,11.91,2.02,0.59,0.44,,,,53.59,,4.24,3.14,0.10,20.04,17.79,0.30,,1.56,,1,1583.15
"Schwab, B.E., Johnston, A.D. (2001)-INT-B11",49.91,0.17,13.51,6.45,0.11,13.47,13.90,1.29,0.26,0.74,,,,53.74,,4.07,3.13,0.10,20.25,17.59,0.25,,1.93,,1,1618.15
"Schwab, B.E., Johnston, A.D. (2001)-INT-B12",50.69,0.14,11.89,6.18,0.13,14.50,14.60,1.00,0.17,1.01,,,,54.04,,3.19,2.72,0.08,20.46,18.68,0.21,,2.04,,1,1633.15
"Schwab, B.E., Johnston, A.D. (2001)-INT-B2",54.33,0.32,18.38,3.31,,7.96,10.60,2.66,0.99,0.16,,,,52.60,0.07,4.33,3.22,0.09,19.44,18.55,0.36,,1.28,,1,1543.15
"Schwab, B.E., Johnston, A.D. (2001)-INT-B4",50.11,0.11,9.74,6.29,0.10,15.93,15.46,0.79,0.08,1.29,,,,53.70,,2.74,2.62,0.08,20.04,19.26,0.18,,1.91,,1,1663.15
"Schwab, B.E., Johnston, A.D. (2001)-INT-B6",50.01,0.24,15.30,5.83,0.12,12.24,13.05,1.69,0.33,0.59,,,,52.43,0.07,4.02,3.17,0.10,19.70,18.49,0.28,,1.66,,1,1603.15
"Schwab, B.E., Johnston, A.D. (2001)-INT-B7",52.27,0.29,16.65,4.84,0.07,10.48,11.69,2.23,0.80,0.30,,,,53.00,,4.38,2.81,0.08,19.72,18.09,0.35,,1.43,,1,1563.15
"Schwab, B.E., Johnston, A.D. (2001)-INT-B8",50.37,0.10,10.08,6.21,0.12,15.46,15.44,0.81,0.11,1.31,,,,54.95,,2.21,2.05,0.06,19.97,18.87,0.18,,1.94,,1,1653.15
"Schwab, B.E., Johnston, A.D. (2001)-INT-D2",50.17,0.30,17.12,5.96,0.12,11.26,12.40,1.47,0.99,0.33,,,,53.77,0.11,4.31,3.60,0.11,20.51,16.95,0.23,,1.51,,1,1573.15
"Schwab, B.E., Johnston, A.D. (2001)-INT-D5",52.08,0.41,18.28,4.74,0.08,9.28,11.37,2.04,1.58,0.24,,,,52.98,0.14,5.04,3.48,0.11,19.61,17.76,0.23,,1.36,,1,1543.15
"Schwab, B.E., Johnston, A.D. (2001)-INT-E1",51.21,0.24,16.74,5.79,0.10,11.45,11.95,1.80,0.85,0.25,,,,53.25,0.10,4.93,3.56,0.10,20.96,16.33,0.27,,1.59,,1,1573.15
"Schwab, B.E., Johnston, A.D. (2001)-INT-E2",50.28,0.26,16.38,5.75,0.10,11.97,12.41,1.54,0.50,0.47,,,,53.28,0.06,4.99,3.68,0.10,21.24,15.56,0.23,,1.52,,1,1573.15
"Schwab, B.E., Johnston, A.D. (2001)-INT-E3",49.83,0.18,14.87,6.32,0.13,12.70,12.80,1.09,0.42,0.45,,,,53.23,0.06,4.49,3.74,0.12,22.18,14.61,0.21,,1.72,,1,1603.15
"Schwab, B.E., Johnston, A.D. (2001)-INT-E5",51.64,0.11,10.48,6.33,0.15,16.10,13.50,0.57,0.16,1.11,,,,56.87,,1.81,4.35,0.12,30.17,6.44,0.07,,1.66,,1,1663.15
"Schwab, B.E., Johnston, A.D. (2001)-INT-E6",50.79,0.17,14.10,6.26,0.12,13.74,13.01,0.99,0.29,0.74,,,,53.63,,3.93,3.70,0.12,22.50,14.07,0.16,,1.77,,1,1618.15
"Schwab, B.E., Johnston, A.D. (2001)-INT-E7",51.09,0.18,12.58,6.36,0.11,14.18,13.35,0.78,0.23,0.83,,,,54.68,,2.65,4.39,0.12,26.41,9.15,0.09,,1.76,,1,1633.15
"Schwab, B.E., Johnston, A.D. (2001)-INT-E8",52.58,0.30,18.19,4.75,0.10,8.92,10.22,2.67,1.81,0.16,,,,52.57,0.11,5.52,3.35,0.09,19.58,17.52,0.34,,1.30,,1,1543.15
"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)-10",49.20,3.11,14.77,14.18,0.20,4.37,9.07,2.95,1.07,,0.77,,,49.12,1.72,7.63,9.34,0.19,12.69,18.40,0.68,,,,0.93,1483.15
"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)-11",49.51,3.39,12.29,14.62,0.24,5.56,9.73,2.55,1.07,,0.74,,,50.07,1.26,3.08,10.33,0.25,16.24,18.16,0.28,,,,0.0001,1392.15
"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)-13",48.46,3.73,12.97,16.17,0.22,4.66,8.53,3.21,1.32,,0.76,,,50.88,1.86,3.59,12.13,0.24,14.84,16.61,0.32,,,,0.43,1423.15
"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)-16",49.60,2.88,14.33,12.74,0.21,5.35,10.18,3.09,0.95,,0.71,,,51.80,1.55,3.62,8.89,0.19,15.21,18.80,0.36,,,,0.43,1453.15
"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)-19",46.15,4.92,12.76,18.02,0.21,3.55,7.88,2.91,1.47,,0.90,,,47.34,2.12,7.03,13.46,0.27,12.65,15.39,0.56,,,,0.93,1433.15
"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)-20",46.34,4.84,11.98,18.46,0.27,3.86,8.15,2.99,1.51,,0.94,,,49.44,2.12,3.52,12.81,0.28,13.63,16.91,0.32,,,,0.43,1393.15
"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)-24",48.35,3.56,14.93,13.84,0.18,3.62,8.12,3.36,1.24,,0.73,,,48.30,1.59,9.35,11.27,0.22,11.10,17.41,1.22,,,,1.43,1523.15
"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)-26",48.24,4.45,14.04,16.48,0.23,3.34,7.73,2.99,1.47,,0.85,,,48.32,1.74,8.52,13.42,0.24,11.31,15.76,1.04,,,,1.43,1493.15
"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)-27",53.30,3.39,13.02,11.34,0.23,4.08,7.76,3.18,1.71,,0.95,,,47.10,2.15,5.20,10.79,0.24,14.16,18.89,0.36,,,,0.0001,1378.15
"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)-30",45.60,5.89,13.26,18.35,0.24,3.10,7.75,2.50,1.52,,1.21,,,47.90,1.93,8.07,16.06,0.27,10.47,14.88,0.96,,,,1.43,1463.15
"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)-31",48.47,2.86,15.69,12.21,0.20,3.30,8.08,3.24,1.13,,0.68,,,47.37,2.03,8.38,10.18,0.21,11.73,18.54,0.66,,,,0.93,1393.15
"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)-35",50.00,1.65,15.62,13.68,0.18,2.17,6.05,3.58,1.84,,0.87,,,47.10,2.27,7.17,13.18,0.25,11.58,16.71,0.50,,,,0.68,1293.15
"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)-37",47.97,2.82,14.57,14.57,0.18,2.73,7.22,3.34,1.52,,0.83,,,49.13,1.95,5.16,11.94,0.22,11.99,18.19,0.44,,,,0.43,1323.15
"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)-38",53.17,1.10,15.93,12.26,0.15,1.34,5.39,3.77,2.19,,1.04,,,46.68,2.47,9.10,11.32,0.21,10.92,18.08,0.72,,,,0.93,1273.15
"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)-4",46.37,4.63,13.01,18.16,0.25,3.77,8.04,2.88,1.50,,0.94,,,47.48,2.10,7.51,12.98,0.25,12.48,15.77,0.61,,,,0.93,1453.15
"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)-9",57.29,3.03,12.90,9.39,0.20,3.01,6.25,3.29,2.35,,1.09,,,47.50,2.27,4.88,12.73,0.31,13.19,18.09,0.38,,,,0.0001,1357.15
"Sisson, T.W., Grove, T.L. (1993)-79-35g#10",49.10,0.73,19.50,8.77,0.17,6.37,12.20,2.99,0.11,,0.09,6.20,,51.00,0.50,4.69,5.14,0.10,15.50,22.10,0.21,,0.51,,0.2,1298.15
"Sisson, T.W., Grove, T.L. (1993)-79-35g#11",49.00,0.72,19.70,8.69,0.16,6.37,12.10,3.08,0.11,,0.09,6.20,,51.00,0.47,4.40,4.70,0.07,15.70,22.30,0.21,,0.67,,0.2,1308.15
"Sisson, T.W., Grove, T.L. (1993)-79-35g#12",52.50,0.98,19.20,8.04,0.20,4.99,9.64,4.15,0.21,,0.14,6.20,,51.10,0.63,4.41,5.66,0.13,15.60,22.60,0.23,,0.27,,0.2,1273.15
"Sisson, T.W., Grove, T.L. (1993)-79-35g#4",49.40,0.72,19.20,8.28,0.15,6.58,12.60,2.77,0.12,0.06,0.06,6.20,,50.90,0.38,4.37,4.56,,15.40,23.10,0.20,,0.71,,0.2,1323.15
"Sisson, T.W., Grove, T.L. (1993)-7935g-#16",51.10,0.93,17.50,8.91,0.18,6.09,11.50,3.53,0.17,,0.15,3.80,,51.50,0.50,3.70,5.18,0.09,15.80,22.80,0.24,,0.66,,0.1,1355.15
"Sisson, T.W., Grove, T.L. (1993)-82-62#3",51.50,1.19,19.20,8.70,0.19,4.98,10.00,3.72,0.42,,0.14,6.20,,50.30,0.73,4.12,5.83,,15.00,22.70,0.24,,0.28,,0.2,1285.15
"Sisson, T.W., Grove, T.L. (1993)-82-62#4",51.80,1.28,19.40,8.62,0.17,4.56,9.59,3.96,0.45,,0.18,6.20,,50.50,0.93,4.50,6.11,0.13,15.00,22.80,0.27,,0.23,,0.2,1273.15
"Sisson, T.W., Grove, T.L. (1993)-82-66-#10",53.20,1.18,17.70,8.12,0.14,5.03,10.00,3.53,0.87,,0.23,3.80,,52.10,0.60,3.00,5.60,0.11,16.40,21.90,0.22,,0.50,,0.1,1323.15
"Sisson, T.W., Grove, T.L. (1993)-82-66-#8",55.80,1.49,17.40,8.24,0.18,3.45,7.71,4.18,1.23,,0.27,3.80,,51.80,0.77,3.00,7.15,0.20,15.60,21.60,0.25,,0.16,,0.1,1293.15
"Sisson, T.W., Grove, T.L. (1993)-82-66-#9",54.80,1.38,17.50,8.10,0.17,4.14,8.51,4.01,1.09,,0.24,3.80,,51.80,0.88,3.20,7.10,0.17,15.60,21.60,0.27,,0.24,,0.1,1308.15
"Sisson, T.W., Grove, T.L. (1993)-82-66#3",52.90,1.08,19.10,7.90,0.17,4.80,9.66,3.41,0.82,,0.13,6.20,,51.40,0.63,3.56,5.43,0.06,15.70,22.60,0.19,,0.34,,0.2,1285.15
"Sisson, T.W., Grove, T.L. (1993)-82-66#5",52.70,1.06,19.30,7.75,0.14,4.83,9.80,3.44,0.80,,0.16,6.20,,51.40,0.63,3.67,5.27,0.10,15.70,22.70,0.21,,0.28,,0.2,1273.15
"Sisson, T.W., Grove, T.L. (1993)-82-66#7",59.10,0.54,19.10,5.22,0.19,3.25,7.45,4.00,0.88,,0.31,6.20,,47.30,1.75,7.85,6.51,0.14,13.10,22.50,0.25,,0.22,,0.2,1238.15
"Sisson, T.W., Grove, T.L. (1993)-82-66+Ab#1",55.90,0.83,20.20,6.37,0.14,3.52,7.35,4.85,0.76,,0.16,6.20,,51.40,0.59,2.86,6.61,0.21,15.50,21.90,0.22,,0.17,,0.2,1238.15
"Sisson, T.W., Grove, T.L. (1993)-82-66+NaOH#1",56.20,0.34,20.40,5.88,0.20,2.58,7.18,6.02,1.02,,0.23,6.20,,51.00,0.56,4.14,7.33,0.20,14.40,22.40,0.31,,0.09,,0.2,1238.15
